EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
060375005,US,South Coast AQMD,R9,27.5,-8,33.95507,2025-05-15 20:00:00 GMT-8,-118.43046,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Los Angeles and Orange Co. Coastal|NW Coastal LA|SW Coastal LA,LAX-Hastings,CA,Inactive,5/16/2025 4:00:00 AM,479153863,Permanent,-13183618.5016132,4022770.61922105
060376012,US,South Coast AQMD,R9,116.8,-8,34.3833,2025-05-15 20:00:00 GMT-8,-118.5283,38,60,60,60,41,41,41,1,PPB,,,ND,-999,0,,18.4,60,60,60,1,UG/M3,60,60,60,San Fernando-Santa Clarita Valleys|Santa Clarita Vly|San Gabriel Mts,Santa Clarita,CA,Active,5/16/2025 4:00:00 AM,479153864,Permanent,-13194510.0005924,4080386.70850868
060379033,US,Mojave Desert AQMD,R9,719.5,-8,34.669589,2025-05-15 20:00:00 GMT-8,-118.130689,,,ND,-999,,ND,-999,1,,,,ND,-999,1,,,,ND,-999,1,,,ND,-999,Mojave Desert|Antelope Vly,Lancaster-Division,CA,Inactive,5/16/2025 4:00:00 AM,479153865,Permanent,-13150248.1465386,4119069.77263528
060379034,US,California Air Resources Board,R9,0,-8,34.8289,2025-05-15 20:00:00 GMT-8,-118.8791,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Lebec,CA,Inactive,5/16/2025 4:00:00 AM,479153866,Permanent,-13233560.8779626,4140653.57897427
060390004,US,San Joaquin Valley Unified APCD,R9,0,-8,36.8669,2025-05-15 20:00:00 GMT-8,-120.01,38,38,38,38,38,38,38,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Madera,Madera - Pump Yard,CA,Active,5/16/2025 4:00:00 AM,479153867,Permanent,-13359452.0901008,4420570.56644721
060392010,US,San Joaquin Valley Unified APCD,R9,0,-8,36.9533,2025-05-15 20:00:00 GMT-8,-120.0341,49,43,43,43,43,43,43,1,PPB,30.0,25.0,25,25,1,UG/M3,7,33,33,33,1,UG/M3,33,33,33,Madera,Madera-City,CA,Active,5/16/2025 4:00:00 AM,479153868,Permanent,-13362134.8898289,4432599.4069861
060410001,US,Bay Area Air District,R9,0.9,-8,37.9722,2025-05-15 20:00:00 GMT-8,-122.5189,36,31,31,31,31,31,31,1,PPB,,,ND,-999,0,,5,26,26,26,1,UG/M3,26,26,26,San Rafael,San Rafael,CA,Active,5/16/2025 4:00:00 AM,479153869,Permanent,-13638741.560552,4575499.34926292
060410003,US,California Air Resources Board,R9,0,-8,38.1269,2025-05-15 20:00:00 GMT-8,-122.9139,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Point Reyes,CA,Inactive,5/16/2025 4:00:00 AM,479153870,Permanent,-13682712.7594153,4597368.06971551
060430006,US,California Air Resources Board,R9,1146.5,-8,37.54377,2025-05-15 20:00:00 GMT-8,-119.83957,43,37,37,37,37,37,37,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Jerseydale (seasonal),CA,Active,5/16/2025 4:00:00 AM,479153872,Permanent,-13340479.9092849,4515174.78842878
060431001,US,California Air Resources Board,R9,0,-8,37.748707,2025-05-15 20:00:00 GMT-8,-119.587094,,,ND,-999,,ND,-999,0,,,,ND,-999,1,,,,ND,-999,1,,,ND,-999,Yosemite National Park,Yosemite Village - Visitor Center,CA,Active,5/16/2025 4:00:00 AM,479153873,Permanent,-13312374.4095273,4543987.10953646
